"player_api_id","player_name","overall_rating","date","gk_rating","appearance","leagues"
26313,"Jerome Alonzo",64,"2010-02-22 00:00:00",313,27,1
26335,"Simon Pouplin",67,"2016-04-14 00:00:00",345,94,2
26343,"Jeremie Janot",74,"2013-05-31 00:00:00",357,103,1
26350,"Jody Viviani",69,"2011-02-22 00:00:00",342,33,1
26359,"Teddy Richert",74,"2012-02-22 00:00:00",381,110,1
26367,"Jessy Moulin",67,"2015-10-02 00:00:00",338,2,1
26410,"Quentin Westberg",63,"2015-11-12 00:00:00",314,2,1
26483,"Brian Vandenbussche",67,"2015-09-21 00:00:00",334,55,1
26484,"Boy Waterman",68,"2015-05-22 00:00:00",342,68,1
26508,"Joost Terol",64,"2012-02-22 00:00:00",319,6,1
26510,"Gabor Babos",66,"2015-02-06 00:00:00",322,107,1
26523,"Nicolas Douchez",75,"2015-11-12 00:00:00",373,122,1
26536,"Sander Boschker",67,"2013-09-20 00:00:00",335,58,1
26547,"Remko Pasveer",70,"2015-09-21 00:00:00",345,136,1
26576,"Rob van Dijk",66,"2012-02-22 00:00:00",328,59,1
26585,"Jurgen Wevers",63,"2010-02-22 00:00:00",318,10,1
26586,"Kevin Begois",67,"2016-03-31 00:00:00",333,62,1
26589,"Bram Castro",69,"2015-11-12 00:00:00",352,82,2
26594,"Vladan Kujovic",66,"2015-01-16 00:00:00",331,36,2
26663,"Martin Pieckenhagen",70,"2011-02-22 00:00:00",347,43,1
26670,"Brian van Loo",66,"2013-05-24 00:00:00",333,35,1
26818,"Anders Lindegaard",77,"2016-06-09 00:00:00",386,19,1
27031,"Nico Pellatz",63,"2014-01-24 00:00:00",315,9,1
27255,"Thomas Kessler",69,"2016-04-07 00:00:00",342,34,1
27284,"Michael Rensing",74,"2016-04-14 00:00:00",366,80,1
27299,"Manuel Neuer",90,"2016-04-21 00:00:00",440,255,1
27313,"Tim Wiese",68,"2015-09-25 00:00:00",328,127,1
27329,"Kevin Stuhr Ellegaard",71,"2016-06-16 00:00:00",353,28,1
27341,"Robert Enke,30",85,"2010-02-22 00:00:00",421,30,1
